,Rank within filtered selection,Nationwide rank,Zip code,City,Metro area,County,State,Total population,Population per sq. mi.,Per capita income,Median household income,Median home value,Poverty rate,Median age,Sq. mi.,Homeownership rate,"County, state"
365,142.0,142.0,98119,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,WA,26879,11086.209637196587,100698.0,123551.0,1047600.0,0.0601304605653291,34.1,2.4245437241070427,0.3434368895330518,"King County, WA"
366,143.0,143.0,91108,San Marino,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,CA,12401,3272.9032639700135,101946.0,204847.0,2000001.0,0.0662849770179824,46.1,3.7889906910837494,0.7247646157214802,"Los Angeles County, CA"
367,144.0,144.0,22201,Arlington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Arlington County,VA,37473,16329.112915274429,98762.0,145000.0,781600.0,0.0732330018812147,31.6,2.2948582813061056,0.2951205988355974,"Arlington County, VA"
368,145.0,145.0,91436,Encino,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,CA,15969,3058.8747574635763,110059.0,177981.0,2000001.0,0.0712984483949996,47.8,5.22054718357986,0.7533896953262084,"Los Angeles County, CA"
379,146.0,146.0,91423,Sherman Oaks,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,CA,32328,7958.32061380693,81693.0,109461.0,1430800.0,0.0677681843592769,41.2,4.062163560477067,0.3494219997616494,"Los Angeles County, CA"
381,147.0,147.0,55424,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,MN,10289,4267.140415886112,124809.0,250001.0,992600.0,0.0158652910258906,43.1,2.411216645624114,0.8659953524399691,"Hennepin County, MN"
386,148.0,148.0,34236,Sarasota,"North Port-Bradenton-Sarasota, FL",Sarasota County,FL,14446,4062.9694136498633,111653.0,95881.0,1018100.0,0.0974459439849078,66.6,3.5555276275197976,0.4029434153768079,"Sarasota County, FL"
392,149.0,149.0,20814,Bethesda,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,MD,32795,7355.4010273642525,107953.0,150996.0,989600.0,0.0438007879832553,39.9,4.458628411692709,0.4662928272122257,"Montgomery County, MD"
393,150.0,150.0,07043,Montclair,"New York-Newark-Jersey City, NY-NJ",Essex County,NJ,13256,5201.530881038654,108861.0,250001.0,975200.0,0.0183775470972702,42.0,2.5484804960636915,0.7939698492462312,"Essex County, NJ"
394,151.0,151.0,92861,Villa Park,"Los Angeles-Long Beach-Anaheim, CA",Orange County,CA,5748,2749.3626307872582,95068.0,202245.0,1871700.0,0.0782639009935506,53.6,2.09066637322924,0.8756976154236428,"Orange County, CA"
395,152.0,152.0,01945,Marblehead,"Boston-Cambridge-Newton, MA-NH",Essex County,MA,20470,4620.875710023553,103886.0,179583.0,942200.0,0.043680981595092,49.2,4.429896254425692,0.7774617067833698,"Essex County, MA"
402,153.0,153.0,92103,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,CA,34836,9454.014834936212,85261.0,102626.0,1061200.0,0.0906524649321925,40.8,3.6847837250336872,0.3231398877954566,"San Diego County, CA"
407,154.0,154.0,92075,Solana Beach,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,CA,11944,3493.9390896036507,98583.0,149327.0,2000001.0,0.0594440723375753,50.2,3.4184911910856797,0.5717506844902561,"San Diego County, CA"
414,155.0,155.0,98004,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,WA,39897,5487.924985471976,132758.0,182545.0,2000001.0,0.0528366387653017,38.0,7.269960887879876,0.3351868432213373,"King County, WA"
419,156.0,156.0,98008,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,WA,27242,4900.736256769061,89438.0,184583.0,1206200.0,0.0541999408459035,43.0,5.558756597515821,0.6713452604527034,"King County, WA"
420,157.0,157.0,78703,Austin,"Austin-Round Rock-San Marcos, TX",Travis County,TX,23483,4176.574477785143,131918.0,153036.0,1495800.0,0.0675587891386254,40.7,5.622550280116911,0.5042657168889257,"Travis County, TX"
422,158.0,158.0,98033,Kirkland,"Seattle-Tacoma-Bellevue, WA",King County,WA,40982,4452.856426205724,114688.0,182500.0,1491700.0,0.061709057457547,40.0,9.203530515561836,0.596379011274935,"King County, WA"
424,159.0,159.0,92629,Dana Point,"Los Angeles-Long Beach-Anaheim, CA",Orange County,CA,25579,5055.734904592201,87443.0,142807.0,1347700.0,0.080836564446011,48.0,5.059402932057653,0.5214128704616084,"Orange County, CA"
426,160.0,160.0,06853,Norwalk,"Bridgeport-Stamford-Danbury, CT",Fairfield County,CT,3171,2628.895329557065,168472.0,250001.0,1610200.0,0.0170293282876064,45.6,1.2062100625871142,0.8089639970609845,"Fairfield County, CT"
431,161.0,161.0,11030,Manhasset,"New York-Newark-Jersey City, NY-NJ",Nassau County,NY,18051,2747.7092087931564,131516.0,234966.0,1766500.0,0.0256753739674034,44.5,6.569472469005672,0.840745835243772,"Nassau County, NY"
434,162.0,162.0,55410,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,MN,20422,6652.7768294773605,90906.0,146425.0,620600.0,0.0225083546294476,41.4,3.069695635890486,0.755007877560207,"Hennepin County, MN"
436,163.0,163.0,01890,Winchester,"Boston-Cambridge-Newton, MA-NH",Middlesex County,MA,23406,3880.005195843555,109898.0,230198.0,1215200.0,0.0465527655535421,42.5,6.032466148517948,0.7993193287172867,"Middlesex County, MA"
438,164.0,164.0,77098,Houston,"Houston-Pasadena-The Woodlands, TX",Harris County,TX,17210,9763.14319758362,100638.0,116650.0,787300.0,0.0957001743172574,37.3,1.7627519797373734,0.3075819868056219,"Harris County, TX"
440,165.0,165.0,98199,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,WA,22468,5305.136645439518,104278.0,180789.0,1198700.0,0.0529201961658493,39.5,4.235140676218827,0.5927724344009712,"King County, WA"
443,166.0,166.0,80218,Denver,"Denver-Aurora-Centennial, CO",Denver County,CO,19149,12098.523294107315,89147.0,81706.0,676700.0,0.0957071372135896,36.7,1.5827551457727635,0.3102025506376594,"Denver County, CO"
444,167.0,167.0,11577,Roslyn Heights,"New York-Newark-Jersey City, NY-NJ",Nassau County,NY,13077,4429.252085629794,89313.0,182674.0,988300.0,0.0397185301016419,44.3,2.9524171907999643,0.8807785888077859,"Nassau County, NY"
450,168.0,168.0,60558,Western Springs,"Chicago-Naperville-Elgin, IL-IN",Cook County,IL,13446,4727.546167043287,104158.0,230255.0,739400.0,0.0129435393885293,41.6,2.8441816377669413,0.940801056338028,"Cook County, IL"
