ZIP,CBSA,CBSA_NAME,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
6838,14860,"Bridgeport-Stamford-Danbury, CT",GREENS FARMS,CT,1,1,1,1
6840,14860,"Bridgeport-Stamford-Danbury, CT",NEW CANAAN,CT,1,1,1,1
6850,14860,"Bridgeport-Stamford-Danbury, CT",NORWALK,CT,1,1,1,1
6851,14860,"Bridgeport-Stamford-Danbury, CT",NORWALK,CT,1,1,1,1
6852,14860,"Bridgeport-Stamford-Danbury, CT",NORWALK,CT,1,1,1,1
6853,14860,"Bridgeport-Stamford-Danbury, CT",NORWALK,CT,1,1,1,1
6854,14860,"Bridgeport-Stamford-Danbury, CT",NORWALK,CT,1,1,1,1
6855,14860,"Bridgeport-Stamford-Danbury, CT",NORWALK,CT,1,1,1,1
6856,14860,"Bridgeport-Stamford-Danbury, CT",NORWALK,CT,1,1,1,1
6858,14860,"Bridgeport-Stamford-Danbury, CT",NORWALK,CT,0,1,0,1
6870,14860,"Bridgeport-Stamford-Danbury, CT",OLD GREENWICH,CT,1,1,1,1
6875,14860,"Bridgeport-Stamford-Danbury, CT",REDDING CENTER,CT,0,1,0,1
6876,14860,"Bridgeport-Stamford-Danbury, CT",REDDING RIDGE,CT,0,1,0,1
6877,14860,"Bridgeport-Stamford-Danbury, CT",RIDGEFIELD,CT,1,1,1,1
6878,14860,"Bridgeport-Stamford-Danbury, CT",RIVERSIDE,CT,1,1,1,1
6880,14860,"Bridgeport-Stamford-Danbury, CT",WESTPORT,CT,1,1,1,1
6881,14860,"Bridgeport-Stamford-Danbury, CT",WESTPORT,CT,1,1,1,1
6883,14860,"Bridgeport-Stamford-Danbury, CT",WESTON,CT,1,1,1,1
6888,14860,"Bridgeport-Stamford-Danbury, CT",WESTPORT,CT,0,1,0,1
6890,14860,"Bridgeport-Stamford-Danbury, CT",SOUTHPORT,CT,1,1,1,1
6896,14860,"Bridgeport-Stamford-Danbury, CT",REDDING,CT,1,1,1,1
6897,14860,"Bridgeport-Stamford-Danbury, CT",WILTON,CT,1,1,1,1
6901,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,1,1,1,1
6902,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,1,1,1,1
6903,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,1,1,1,1
6904,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,1,1,1,1
6905,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,1,1,1,1
6906,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,1,1,1,1
6907,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,1,1,1,1
6910,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,0,1,0,1
6911,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,1,1,1,1
6912,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,1,1,1,1
6926,14860,"Bridgeport-Stamford-Danbury, CT",STAMFORD,CT,0,1,0,1
7001,35620,"New York-Newark-Jersey City, NY-NJ",AVENEL,NJ,1,1,1,1
7002,35620,"New York-Newark-Jersey City, NY-NJ",BAYONNE,NJ,1,1,1,1
7003,35620,"New York-Newark-Jersey City, NY-NJ",BLOOMFIELD,NJ,1,1,1,1
7004,35620,"New York-Newark-Jersey City, NY-NJ",FAIRFIELD,NJ,1,1,1,1
7005,35620,"New York-Newark-Jersey City, NY-NJ",BOONTON,NJ,1,1,1,1
7006,35620,"New York-Newark-Jersey City, NY-NJ",CALDWELL,NJ,1,1,1,1
7007,35620,"New York-Newark-Jersey City, NY-NJ",CALDWELL,NJ,1,1,1,1
7008,35620,"New York-Newark-Jersey City, NY-NJ",CARTERET,NJ,1,1,1,1
7009,35620,"New York-Newark-Jersey City, NY-NJ",CEDAR GROVE,NJ,1,1,1,1
7010,35620,"New York-Newark-Jersey City, NY-NJ",CLIFFSIDE PARK,NJ,1,1,1,1
7011,35620,"New York-Newark-Jersey City, NY-NJ",CLIFTON,NJ,1,1,1,1
7012,35620,"New York-Newark-Jersey City, NY-NJ",CLIFTON,NJ,1,1,1,1
7013,35620,"New York-Newark-Jersey City, NY-NJ",CLIFTON,NJ,1,1,1,1
7014,35620,"New York-Newark-Jersey City, NY-NJ",CLIFTON,NJ,1,1,1,1
7015,35620,"New York-Newark-Jersey City, NY-NJ",CLIFTON,NJ,1,1,1,1
7016,35620,"New York-Newark-Jersey City, NY-NJ",CRANFORD,NJ,1,1,1,1
7017,35620,"New York-Newark-Jersey City, NY-NJ",EAST ORANGE,NJ,1,1,1,1
